"region_cd","id","yearquarter","count","runoff_mmd","rank","n","ptile","class"
"AK","02","2018Q3","98","2.87962","82","89","91.11","6"
"AL","01","2018Q3","53","0.72388","36","89","40","4"
"AR","05","2018Q3","57","0.44769","26","89","28.89","4"
"AZ","04","2018Q3","84","0.02169","84","89","93.33","6"
"CA","06","2018Q3","142","0.16321","60","89","66.67","4"
"CO","08","2018Q3","94","0.06707","87","89","96.67","6"
"CT","09","2018Q3","14","1.47412","5","89","5.56","2"
"DC","11","2018Q3","2","2.50777","1","89","1.11","1"
"DE","10","2018Q3","9","1.57934","9","89","10","3"
"FL","12","2018Q3","46","1.51892","23","89","25.56","4"
"GA","13","2018Q3","53","0.76128","27","89","30","4"
"HI","15","2018Q3","58","5.87298","12","89","13.33","3"
"IA","19","2018Q3","58","1.48135","3","89","3.33","2"
"ID","16","2018Q3","90","0.3976","57","89","63.33","4"
"IL","17","2018Q3","52","0.59121","13","89","14.44","3"
"IN","18","2018Q3","39","0.80341","9","89","10","3"
"KS","20","2018Q3","92","0.12875","45","89","50","4"
"KY","21","2018Q3","44","0.99836","4","89","4.44","2"
"LA","22","2018Q3","44","0.25175","62","89","68.89","4"
"MA","25","2018Q3","20","1.30702","6","89","6.67","2"
"MD","24","2018Q3","21","2.15897","1","89","1.11","1"
"ME","23","2018Q3","21","0.53826","84","89","93.33","6"
"MI","26","2018Q3","58","0.6062","22","89","24.44","3"
"MN","27","2018Q3","81","0.63582","6","89","6.67","2"
"MO","29","2018Q3","66","0.31956","49","89","54.44","4"
"MS","28","2018Q3","55","0.59944","33","89","36.67","4"
"MT","30","2018Q3","112","0.32476","34","89","37.78","4"
"NC","37","2018Q3","55","2.29334","1","89","1.11","1"
"ND","38","2018Q3","50","0.05013","30","89","33.33","4"
"NE","31","2018Q3","71","0.18166","7","89","7.78","2"
"NH","33","2018Q3","14","1.03625","18","89","20","3"
"NJ","34","2018Q3","13","1.54485","10","89","11.11","3"
"NM","35","2018Q3","79","0.02825","84","89","93.33","6"
"NV","32","2018Q3","68","0.06627","51","89","56.67","4"
"NY","36","2018Q3","54","1.05468","13","89","14.44","3"
"OH","39","2018Q3","44","0.74646","11","89","12.22","3"
"OK","40","2018Q3","68","0.2024","21","89","23.33","3"
"OR","41","2018Q3","87","0.30015","77","89","85.56","5"
"PA","42","2018Q3","56","2.49269","1","89","1.11","1"
"PR","72","2018Q3","66","2.0895","49","76","63.64","4"
"RI","44","2018Q3","6","0.85965","28","89","31.11","4"
"SC","45","2018Q3","35","0.95911","21","89","23.33","3"
"SD","46","2018Q3","56","0.12141","4","89","4.44","2"
"TN","47","2018Q3","59","0.87591","21","89","23.33","3"
"TX","48","2018Q3","189","0.09794","42","89","46.67","4"
"UT","49","2018Q3","65","0.08577","79","89","87.78","5"
"VA","51","2018Q3","47","1.29331","5","89","5.56","2"
"VT","50","2018Q3","17","0.66045","46","89","51.11","4"
"WA","53","2018Q3","71","0.94521","81","89","90","5"
"WI","55","2018Q3","50","0.98805","6","89","6.67","2"
"WV","54","2018Q3","37","1.4099","2","89","2.22","2"
"WY","56","2018Q3","83","0.23678","56","89","62.22","4"
